"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births	% of Total Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age
	"2008"	"2008"	"Los Angeles County, CA"	"06037"	10786	2.42%	1991.76	514.49	28.99	7.11	34.51	4.17
	"2008"	"2008"	"Madera County, CA"	"06039"	155	0.03%	1979.97	572.72	27.12	6.79	34.28	4.45
	"2008"	"2008"	"Marin County, CA"	"06041"	196	0.04%	2049.04	469.97	33.45	7.09	34.52	3.35
	"2008"	"2008"	"Merced County, CA"	"06047"	290	0.07%	1972.48	561.43	26.54	6.77	34.24	4.70
	"2008"	"2008"	"Monterey County, CA"	"06053"	434	0.10%	2005.46	511.04	27.39	7.03	34.44	4.02
	"2008"	"2008"	"Napa County, CA"	"06055"	112	0.03%	1958.83	548.75	30.39	6.74	34.21	4.32
	"2008"	"2008"	"Orange County, CA"	"06059"	2702	0.61%	2006.50	499.94	29.97	6.72	34.56	3.92
	"2008"	"2008"	"Placer County, CA"	"06061"	233	0.05%	2036.64	485.75	31.15	6.73	34.58	3.70
	"2008"	"2008"	"Riverside County, CA"	"06065"	2182	0.49%	1979.51	517.56	27.63	6.80	34.50	4.21
	"2008"	"2008"	"Sacramento County, CA"	"06067"	1391	0.31%	1979.68	530.21	28.05	6.62	34.23	4.11
	"2008"	"2008"	"San Bernardino County, CA"	"06071"	2395	0.54%	1970.77	547.09	27.20	6.79	34.39	4.45
	"2008"	"2008"	"San Diego County, CA"	"06073"	3077	0.69%	1984.14	509.74	28.93	7.06	34.42	4.00
	"2008"	"2008"	"San Francisco County, CA"	"06075"	665	0.15%	1975.25	532.98	31.89	6.54	34.21	4.03
	"2008"	"2008"	"San Joaquin County, CA"	"06077"	786	0.18%	1945.40	541.85	26.95	6.78	33.91	4.39
	"2008"	"2008"	"San Luis Obispo County, CA"	"06079"	175	0.04%	2070.33	411.39	29.01	6.86	34.79	3.44
	"2008"	"2008"	"San Mateo County, CA"	"06081"	614	0.14%	1988.49	483.63	31.13	6.91	34.38	3.67
	"2008"	"2008"	"Santa Barbara County, CA"	"06083"	366	0.08%	2014.51	500.10	28.21	6.95	34.59	4.04
	"2008"	"2008"	"Santa Clara County, CA"	"06085"	1729	0.39%	2021.34	483.04	30.62	6.41	34.67	3.83
	"2008"	"2008"	"Santa Cruz County, CA"	"06087"	223	0.05%	2011.85	484.37	30.00	7.14	34.87	3.75
	"2008"	"2008"	"Shasta County, CA"	"06089"	121	0.03%	1992.86	559.58	27.07	7.12	34.74	4.74
	"2008"	"2008"	"Solano County, CA"	"06095"	401	0.09%	1955.17	520.28	27.99	6.51	33.96	4.34
	"2008"	"2008"	"Sonoma County, CA"	"06097"	335	0.08%	1967.33	533.90	30.04	7.14	33.97	4.26
	"2008"	"2008"	"Stanislaus County, CA"	"06099"	549	0.12%	1963.44	538.60	27.31	6.29	33.94	4.32
	"2008"	"2008"	"Tulare County, CA"	"06107"	545	0.12%	1994.56	528.02	26.37	6.68	34.33	4.36
	"2008"	"2008"	"Ventura County, CA"	"06111"	786	0.18%	1980.92	527.15	29.56	6.85	34.36	4.12
	"2008"	"2008"	"Yolo County, CA"	"06113"	147	0.03%	2006.11	485.76	28.74	6.30	34.50	3.82
	"2008"	"2008"	"Unidentified Counties, CA"	"06999"	706	0.16%	1976.63	545.92	27.42	6.54	34.32	4.48
"Total"	"2008"	"2008"			37598	8.45%	1986.85	519.80	28.72	6.97	34.42	4.16
	"2009"	"2009"	"Alameda County, CA"	"06001"	1431	0.32%	1991.12	505.49	30.11	6.61	34.46	3.94
	"2009"	"2009"	"Butte County, CA"	"06007"	136	0.03%	1981.26	553.00	27.65	5.83	34.62	4.32
	"2009"	"2009"	"Contra Costa County, CA"	"06013"	843	0.19%	1981.64	518.98	30.23	6.81	34.39	4.04
	"2009"	"2009"	"El Dorado County, CA"	"06017"	105	0.02%	1973.19	502.40	27.85	7.31	34.20	4.41
	"2009"	"2009"	"Fresno County, CA"	"06019"	1157	0.26%	1988.65	532.80	26.58	6.50	34.42	4.33
	"2009"	"2009"	"Humboldt County, CA"	"06023"	72	0.02%	1939.39	446.12	26.72	5.50	34.14	3.92
	"2009"	"2009"	"Imperial County, CA"	"06025"	186	0.04%	2001.04	515.62	25.67	5.79	34.63	3.82
	"2009"	"2009"	"Kern County, CA"	"06029"	1088	0.24%	1978.98	550.37	26.40	6.63	34.33	4.66
	"2009"	"2009"	"Kings County, CA"	"06031"	171	0.04%	1995.09	464.09	27.57	6.24	34.46	3.65
	"2009"	"2009"	"Los Angeles County, CA"	"06037"	10132	2.28%	1979.71	524.45	29.08	7.01	34.45	4.17
	"2009"	"2009"	"Madera County, CA"	"06039"	151	0.03%	2003.58	504.48	26.53	6.84	34.70	4.45
	"2009"	"2009"	"Marin County, CA"	"06041"	152	0.03%	2062.80	478.64	33.26	6.52	34.52	3.51
	"2009"	"2009"	"Merced County, CA"	"06047"	303	0.07%	1995.49	516.33	27.09	6.71	34.15	4.10
	"2009"	"2009"	"Monterey County, CA"	"06053"	415	0.09%	1970.60	527.35	27.47	6.57	34.26	4.39
	"2009"	"2009"	"Napa County, CA"	"06055"	104	0.02%	1904.48	555.66	29.90	6.54	33.78	3.77
	"2009"	"2009"	"Orange County, CA"	"06059"	2667	0.60%	2003.41	496.36	29.95	6.76	34.55	3.93
	"2009"	"2009"	"Placer County, CA"	"06061"	203	0.05%	1961.19	576.03	30.53	6.36	34.05	4.29
	"2009"	"2009"	"Riverside County, CA"	"06065"	2059	0.46%	1975.25	534.21	27.88	6.76	34.33	4.40
	"2009"	"2009"	"Sacramento County, CA"	"06067"	1401	0.31%	1914.90	563.60	28.76	6.80	33.82	4.44
	"2009"	"2009"	"San Bernardino County, CA"	"06071"	2286	0.51%	1922.32	576.14	27.23	6.57	33.96	4.65
	"2009"	"2009"	"San Diego County, CA"	"06073"	2985	0.67%	1992.20	519.80	29.21	6.90	34.32	4.13
	"2009"	"2009"	"San Francisco County, CA"	"06075"	593	0.13%	2013.99	487.90	32.32	6.68	34.66	3.71
	"2009"	"2009"	"San Joaquin County, CA"	"06077"	747	0.17%	1987.17	533.07	27.28	6.27	34.37	4.27
	"2009"	"2009"	"San Luis Obispo County, CA"	"06079"	149	0.03%	1959.78	536.37	29.45	6.20	33.93	4.08
	"2009"	"2009"	"San Mateo County, CA"	"06081"	631	0.14%	2023.07	467.10	31.53	6.44	34.67	3.62
	"2009"	"2009"	"Santa Barbara County, CA"	"06083"	371	0.08%	1998.78	506.67	28.35	6.97	34.45	4.38
	"2009"	"2009"	"Santa Clara County, CA"	"06085"	1815	0.41%	2032.61	481.30	30.80	6.31	34.81	3.72
	"2009"	"2009"	"Santa Cruz County, CA"	"06087"	201	0.05%	2006.28	444.45	29.78	7.55	34.58	3.82
	"2009"	"2009"	"Shasta County, CA"	"06089"	123	0.03%	1941.55	511.30	27.11	6.64	34.28	4.12
	"2009"	"2009"	"Solano County, CA"	"06095"	370	0.08%	1959.08	523.88	29.19	7.01	34.03	4.20
	"2009"	"2009"	"Sonoma County, CA"	"06097"	335	0.08%	2003.91	483.73	29.99	6.70	34.16	3.52
	"2009"	"2009"	"Stanislaus County, CA"	"06099"	519	0.12%	1969.69	533.68	27.14	7.04	33.98	4.17
	"2009"	"2009"	"Tulare County, CA"	"06107"	519	0.12%	1956.88	556.03	26.37	6.77	34.16	4.44
	"2009"	"2009"	"Ventura County, CA"	"06111"	685	0.15%	1975.99	508.67	29.12	7.04	34.46	3.96
	"2009"	"2009"	"Yolo County, CA"	"06113"	119	0.03%	1983.19	513.28	29.43	6.76	34.45	3.55
	"2009"	"2009"	"Unidentified Counties, CA"	"06999"	578	0.13%	1983.76	516.54	26.82	6.38	34.36	4.37
"Total"	"2009"	"2009"			35802	8.05%	1980.92	523.95	28.85	6.91	34.37	4.18
	"2010"	"2010"	"Alameda County, CA"	"06001"	1367	0.31%	1979.82	527.27	30.11	6.54	34.32	4.15
	"2010"	"2010"	"Butte County, CA"	"06007"	149	0.03%	1953.79	551.83	28.55	6.29	34.29	4.38
	"2010"	"2010"	"Contra Costa County, CA"	"06013"	851	0.19%	1987.66	502.36	30.25	7.22	34.40	4.02
	"2010"	"2010"	"El Dorado County, CA"	"06017"	115	0.03%	1958.43	531.75	30.76	6.56	34.53	4.11
	"2010"	"2010"	"Fresno County, CA"	"06019"	1266	0.28%	1961.11	534.59	27.20	6.62	34.04	4.24
	"2010"	"2010"	"Humboldt County, CA"	"06023"	88	0.02%	2066.07	482.55	27.36	6.36	35.34	4.21
	"2010"	"2010"	"Imperial County, CA"	"06025"	183	0.04%	1969.79	553.03	26.32	5.76	34.31	4.14
	"2010"	"2010"	"Kern County, CA"	"06029"	1010	0.23%	2016.83	514.01	26.31	6.78	34.78	4.40
	"2010"	"2010"	"Kings County, CA"	"06031"	163	0.04%	1891.06	606.78	26.07	5.75	33.90	4.79
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	9714	2.18%	1979.16	523.81	29.23	6.97	34.45	4.18
	"2010"	"2010"	"Madera County, CA"	"06039"	167	0.04%	1952.69	549.16	25.58	6.13	34.40	4.55
	"2010"	"2010"	"Marin County, CA"	"06041"	146	0.03%	2109.18	415.61	32.60	6.74	35.43	3.18
	"2010"	"2010"	"Merced County, CA"	"06047"	291	0.07%	1916.95	560.03	26.86	6.62	33.91	4.52
	"2010"	"2010"	"Monterey County, CA"	"06053"	376	0.08%	1938.26	552.83	28.48	7.03	34.09	4.48
	"2010"	"2010"	"Napa County, CA"	"06055"	92	0.02%	1958.41	547.89	30.16	6.68	33.93	4.43
	"2010"	"2010"	"Orange County, CA"	"06059"	2459	0.55%	2020.99	488.48	30.18	6.73	34.55	3.87
	"2010"	"2010"	"Placer County, CA"	"06061"	209	0.05%	2004.39	507.09	31.58	6.31	34.43	4.17
	"2010"	"2010"	"Riverside County, CA"	"06065"	1989	0.45%	1975.76	523.88	28.04	6.52	34.38	4.25
	"2010"	"2010"	"Sacramento County, CA"	"06067"	1419	0.32%	1971.96	532.07	28.45	6.62	34.36	4.31
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	2224	0.50%	1974.26	538.89	27.17	6.54	34.38	4.33
	"2010"	"2010"	"San Diego County, CA"	"06073"	2895	0.65%	1983.93	511.07	29.42	6.79	34.40	4.09
	"2010"	"2010"	"San Francisco County, CA"	"06075"	622	0.14%	2021.32	497.06	32.39	6.18	34.45	3.79
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	746	0.17%	2008.65	525.56	27.27	6.62	34.48	4.20
	"2010"	"2010"	"San Luis Obispo County, CA"	"06079"	133	0.03%	1940.30	546.93	29.62	6.26	34.32	4.37
	"2010"	"2010"	"San Mateo County, CA"	"06081"	659	0.15%	2032.41	470.72	32.12	6.29	34.88	3.54
	"2010"	"2010"	"Santa Barbara County, CA"	"06083"	329	0.07%	2009.26	510.66	27.81	7.05	34.42	4.09
	"2010"	"2010"	"Santa Clara County, CA"	"06085"	1648	0.37%	2019.64	479.57	30.91	6.44	34.54	3.75
	"2010"	"2010"	"Santa Cruz County, CA"	"06087"	182	0.04%	1897.95	548.74	29.24	6.89	33.80	4.59
	"2010"	"2010"	"Shasta County, CA"	"06089"	121	0.03%	2017.78	507.61	27.25	5.75	34.83	4.26
	"2010"	"2010"	"Solano County, CA"	"06095"	325	0.07%	1931.37	547.80	28.57	6.44	34.06	4.55
	"2010"	"2010"	"Sonoma County, CA"	"06097"	311	0.07%	1961.93	521.42	30.26	6.86	34.15	3.89
	"2010"	"2010"	"Stanislaus County, CA"	"06099"	464	0.10%	1935.87	538.98	27.30	6.61	33.71	4.20
	"2010"	"2010"	"Tulare County, CA"	"06107"	517	0.12%	1972.71	532.60	26.93	6.62	34.26	4.38
	"2010"	"2010"	"Ventura County, CA"	"06111"	686	0.15%	1983.85	535.28	29.48	6.70	34.40	4.16
	"2010"	"2010"	"Yolo County, CA"	"06113"	126	0.03%	1888.02	566.92	29.73	6.63	33.81	4.46
	"2010"	"2010"	"Unidentified Counties, CA"	"06999"	599	0.13%	1981.22	556.16	27.82	6.44	34.37	4.51
"Total"	"2010"	"2010"			34641	7.79%	1984.22	521.14	28.99	6.86	34.41	4.16
	"2011"	"2011"	"Alameda County, CA"	"06001"	1420	0.32%	1991.62	507.16	30.75	6.68	34.47	3.98
	"2011"	"2011"	"Butte County, CA"	"06007"	129	0.03%	2070.16	442.83	27.28	6.24	35.09	3.86
	"2011"	"2011"	"Contra Costa County, CA"	"06013"	851	0.19%	1960.72	512.45	30.36	6.88	34.19	4.00
	"2011"	"2011"	"El Dorado County, CA"	"06017"	102	0.02%	2029.60	461.46	29.57	7.10	34.57	3.92
	"2011"	"2011"	"Fresno County, CA"	"06019"	1218	0.27%	1924.23	563.69	27.09	6.55	33.82	4.55
	"2011"	"2011"	"Humboldt County, CA"	"06023"	72	0.02%	2135.79	394.13	27.44	6.22	35.18	2.99
	"2011"	"2011"	"Imperial County, CA"	"06025"	151	0.03%	1999.88	504.77	26.75	6.07	34.51	4.20
	"2011"	"2011"	"Kern County, CA"	"06029"	1030	0.23%	1976.68	526.43	26.69	6.45	34.62	4.48
	"2011"	"2011"	"Kings County, CA"	"06031"	172	0.04%	1969.65	528.14	26.50	6.48	34.29	4.27
	"2011"	"2011"	"Los Angeles County, CA"	"06037"	9248	2.08%	1982.63	520.09	29.52	6.86	34.44	4.13
	"2011"	"2011"	"Madera County, CA"	"06039"	158	0.04%	1968.45	540.10	27.25	7.00	33.82	4.62
	"2011"	"2011"	"Marin County, CA"	"06041"	139	0.03%	2033.64	429.64	33.15	6.59	34.58	2.97
	"2011"	"2011"	"Merced County, CA"	"06047"	290	0.07%	1997.01	538.67	27.31	7.00	34.64	4.64
	"2011"	"2011"	"Monterey County, CA"	"06053"	397	0.09%	1980.66	513.71	28.23	6.76	34.44	4.25
	"2011"	"2011"	"Napa County, CA"	"06055"	90	0.02%	1999.42	415.98	30.01	6.08	34.70	3.54
	"2011"	"2011"	"Orange County, CA"	"06059"	2547	0.57%	2010.02	493.86	30.57	6.69	34.51	3.84
	"2011"	"2011"	"Placer County, CA"	"06061"	234	0.05%	1983.97	538.74	30.64	6.16	34.11	4.15
	"2011"	"2011"	"Riverside County, CA"	"06065"	1907	0.43%	1995.32	506.50	28.27	6.52	34.48	4.14
	"2011"	"2011"	"Sacramento County, CA"	"06067"	1330	0.30%	1924.71	551.48	28.43	6.68	34.08	4.24
	"2011"	"2011"	"San Bernardino County, CA"	"06071"	2166	0.49%	1955.65	542.53	27.79	6.65	34.25	4.30
	"2011"	"2011"	"San Diego County, CA"	"06073"	2853	0.64%	1991.77	506.51	29.53	6.69	34.43	4.00
	"2011"	"2011"	"San Francisco County, CA"	"06075"	612	0.14%	2037.89	454.32	32.63	6.51	34.80	3.53
	"2011"	"2011"	"San Joaquin County, CA"	"06077"	726	0.16%	1956.30	539.94	28.31	6.49	34.12	4.38
	"2011"	"2011"	"San Luis Obispo County, CA"	"06079"	159	0.04%	1911.99	546.94	30.28	6.86	33.83	3.63
	"2011"	"2011"	"San Mateo County, CA"	"06081"	610	0.14%	2000.27	470.99	32.00	6.39	34.32	3.42
	"2011"	"2011"	"Santa Barbara County, CA"	"06083"	360	0.08%	1983.22	522.73	28.50	6.56	34.26	4.11
	"2011"	"2011"	"Santa Clara County, CA"	"06085"	1608	0.36%	2019.18	487.15	30.83	6.31	34.60	3.78
	"2011"	"2011"	"Santa Cruz County, CA"	"06087"	175	0.04%	1991.23	502.64	29.71	7.47	34.41	4.02
	"2011"	"2011"	"Shasta County, CA"	"06089"	127	0.03%	1990.50	523.50	27.49	6.35	34.31	4.24
	"2011"	"2011"	"Solano County, CA"	"06095"	338	0.08%	1968.53	507.10	28.83	6.68	34.42	4.13
	"2011"	"2011"	"Sonoma County, CA"	"06097"	277	0.06%	1918.47	537.84	30.07	6.49	33.93	3.75
	"2011"	"2011"	"Stanislaus County, CA"	"06099"	457	0.10%	1949.15	534.81	27.73	6.67	34.39	4.15
	"2011"	"2011"	"Tulare County, CA"	"06107"	508	0.11%	2001.17	500.52	26.55	6.43	34.30	4.13
	"2011"	"2011"	"Ventura County, CA"	"06111"	685	0.15%	1970.82	539.09	29.37	6.83	34.17	4.24
	"2011"	"2011"	"Yolo County, CA"	"06113"	148	0.03%	1948.18	512.03	30.18	6.56	34.29	3.90
	"2011"	"2011"	"Unidentified Counties, CA"	"06999"	652	0.15%	2008.30	524.60	27.58	6.18	34.67	4.32
"Total"	"2011"	"2011"			33946	7.63%	1982.33	517.27	29.23	6.81	34.39	4.10
	"2012"	"2012"	"Alameda County, CA"	"06001"	1487	0.33%	2002.80	502.47	30.76	6.37	34.46	3.88
	"2012"	"2012"	"Butte County, CA"	"06007"	142	0.03%	2001.38	507.28	27.20	6.33	34.51	4.50
	"2012"	"2012"	"Contra Costa County, CA"	"06013"	812	0.18%	1971.46	533.66	30.53	6.64	34.14	4.11
	"2012"	"2012"	"El Dorado County, CA"	"06017"	84	0.02%	1961.32	488.16	29.63	6.81	34.60	3.47
	"2012"	"2012"	"Fresno County, CA"	"06019"	1232	0.28%	1973.47	535.79	27.01	6.26	34.21	4.30
	"2012"	"2012"	"Humboldt County, CA"	"06023"	76	0.02%	2001.97	490.94	26.32	5.63	34.84	3.97
	"2012"	"2012"	"Imperial County, CA"	"06025"	171	0.04%	2080.99	405.07	26.91	6.19	35.59	3.82
	"2012"	"2012"	"Kern County, CA"	"06029"	974	0.22%	1965.43	532.87	26.87	6.42	34.44	4.55
	"2012"	"2012"	"Kings County, CA"	"06031"	139	0.03%	1910.24	575.15	26.96	5.98	33.97	4.85
	"2012"	"2012"	"Los Angeles County, CA"	"06037"	9137	2.05%	1991.49	513.36	29.61	6.80	34.46	4.08
	"2012"	"2012"	"Madera County, CA"	"06039"	145	0.03%	1968.34	526.98	26.90	6.40	34.43	4.10
	"2012"	"2012"	"Marin County, CA"	"06041"	126	0.03%	1943.60	484.35	33.40	6.36	34.10	3.53
	"2012"	"2012"	"Merced County, CA"	"06047"	294	0.07%	1970.58	555.87	27.39	6.49	34.39	4.30
	"2012"	"2012"	"Monterey County, CA"	"06053"	393	0.09%	1946.91	573.52	28.20	6.43	34.06	4.66
	"2012"	"2012"	"Napa County, CA"	"06055"	87	0.02%	2037.94	471.56	28.69	6.49	34.63	3.56
	"2012"	"2012"	"Orange County, CA"	"06059"	2398	0.54%	2001.35	501.99	30.85	6.57	34.58	3.88
	"2012"	"2012"	"Placer County, CA"	"06061"	223	0.05%	2016.48	485.54	30.43	6.34	34.49	3.78
	"2012"	"2012"	"Riverside County, CA"	"06065"	1964	0.44%	1958.93	542.28	28.57	6.56	34.19	4.40
	"2012"	"2012"	"Sacramento County, CA"	"06067"	1330	0.30%	1947.06	544.29	29.19	6.65	34.13	4.27
	"2012"	"2012"	"San Bernardino County, CA"	"06071"	2252	0.51%	1953.63	559.23	28.10	6.47	34.19	4.55
	"2012"	"2012"	"San Diego County, CA"	"06073"	2835	0.64%	1982.49	508.31	29.70	6.67	34.27	3.99
	"2012"	"2012"	"San Francisco County, CA"	"06075"	637	0.14%	2054.42	440.73	32.62	6.48	34.80	3.44
	"2012"	"2012"	"San Joaquin County, CA"	"06077"	701	0.16%	2023.94	489.83	28.10	6.35	34.65	4.02
	"2012"	"2012"	"San Luis Obispo County, CA"	"06079"	140	0.03%	1964.15	487.78	29.11	6.84	34.42	4.31
	"2012"	"2012"	"San Mateo County, CA"	"06081"	605	0.14%	2002.74	497.40	31.94	6.11	34.20	3.71
	"2012"	"2012"	"Santa Barbara County, CA"	"06083"	325	0.07%	2063.49	456.26	28.99	6.62	34.97	4.04
	"2012"	"2012"	"Santa Clara County, CA"	"06085"	1661	0.37%	2023.18	491.41	31.31	5.98	34.58	3.77
	"2012"	"2012"	"Santa Cruz County, CA"	"06087"	176	0.04%	1946.49	571.74	29.02	5.90	34.38	4.80
	"2012"	"2012"	"Shasta County, CA"	"06089"	126	0.03%	2067.35	471.11	27.82	6.52	35.35	4.07
	"2012"	"2012"	"Solano County, CA"	"06095"	357	0.08%	1944.24	543.86	28.68	6.25	34.33	4.41
	"2012"	"2012"	"Sonoma County, CA"	"06097"	296	0.07%	1975.86	516.52	30.03	6.55	34.52	3.73
	"2012"	"2012"	"Stanislaus County, CA"	"06099"	491	0.11%	1898.47	589.93	27.88	6.28	33.90	4.66
	"2012"	"2012"	"Tulare County, CA"	"06107"	455	0.10%	1979.09	535.16	27.42	6.68	34.16	4.43
	"2012"	"2012"	"Ventura County, CA"	"06111"	652	0.15%	1992.44	526.04	29.60	6.70	34.12	4.05
	"2012"	"2012"	"Yolo County, CA"	"06113"	132	0.03%	2032.88	466.16	29.59	6.26	34.75	3.76
	"2012"	"2012"	"Unidentified Counties, CA"	"06999"	600	0.13%	1993.85	524.47	27.85	6.40	34.46	4.19
"Total"	"2012"	"2012"			33655	7.56%	1985.58	519.52	29.40	6.68	34.39	4.13
	"2013"	"2013"	"Alameda County, CA"	"06001"	1424	0.32%	2000.44	497.63	31.11	6.33	34.72	3.83
	"2013"	"2013"	"Butte County, CA"	"06007"	144	0.03%	1978.94	527.22	27.85	5.92	35.08	4.57
	"2013"	"2013"	"Contra Costa County, CA"	"06013"	821	0.18%	1983.54	517.18	30.78	6.55	34.40	4.00
	"2013"	"2013"	"El Dorado County, CA"	"06017"	97	0.02%	2041.01	426.96	30.54	6.80	34.83	3.52
	"2013"	"2013"	"Fresno County, CA"	"06019"	1248	0.28%	1947.20	570.46	27.61	6.42	33.93	4.47
	"2013"	"2013"	"Humboldt County, CA"	"06023"	87	0.02%	1975.13	515.84	27.97	5.82	34.57	4.61
	"2013"	"2013"	"Imperial County, CA"	"06025"	161	0.04%	1994.01	495.72	26.38	6.75	35.15	4.51
	"2013"	"2013"	"Kern County, CA"	"06029"	1039	0.23%	1931.02	582.28	27.38	6.50	34.12	4.76
	"2013"	"2013"	"Kings County, CA"	"06031"	150	0.03%	1934.61	563.27	27.85	6.57	34.32	4.76
