"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Births	% of Total Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"California"	"06"	"Fresno County, CA"	"06019"	"2011"	"2011"	16160	0.25%	942904	17.14	198716	81.32	3273.14	26.97	38.55	38.44
	"California"	"06"	"Fresno County, CA"	"06019"	"2012"	"2012"	15955	0.24%	947895	16.83	199490	79.98	3269.70	27.09	38.60	38.47
	"California"	"06"	"Fresno County, CA"	"06019"	"2013"	"2013"	15737	0.24%	955272	16.47	199974	78.70	3261.48	27.36	38.54	38.48
	"California"	"06"	"Fresno County, CA"	"06019"	"2014"	"2014"	15762	0.24%	965974	16.32	201914	78.06	3266.53	27.50	38.53	38.51
	"California"	"06"	"Fresno County, CA"	"06019"	"2015"	"2015"	15359	0.24%	974861	15.76	203342	75.53	3258.89	27.88	38.50	38.45
	"California"	"06"	"Fresno County, CA"	"06019"	"2016"	"2016"	15129	0.23%	979915	15.44	203310	74.41	3272.81	27.95	38.55	38.51
	"California"	"06"	"Fresno County, CA"	"06019"	"2017"	"2017"	14541	0.22%	989255	14.70	205524	70.75	3286.95	28.25	38.58	38.53
	"California"	"06"	"Fresno County, CA"	"06019"	"2018"	"2018"	14465	0.22%	994400	14.55	206442	70.07	3276.69	28.43	38.53	38.49
	"California"	"06"	"Fresno County, CA"	"06019"	"2019"	"2019"	14057	0.22%	999101	14.07	207815	67.64	3256.31	28.67	38.41	38.41
"Total"	"California"	"06"	"Fresno County, CA"	"06019"			203775	3.13%	12407068	16.42	2607494	78.15	3270.09	27.36	38.55	38.47
	"California"	"06"	"Humboldt County, CA"	"06023"	"2007"	"2007"	1599	0.02%	132001	12.11	27135	58.93	3370.51	27.09	38.85	38.85
	"California"	"06"	"Humboldt County, CA"	"06023"	"2008"	"2008"	1601	0.02%	132657	12.07	26967	59.37	3398.77	27.19	38.96	38.83
	"California"	"06"	"Humboldt County, CA"	"06023"	"2009"	"2009"	1541	0.02%	133744	11.52	26967	57.14	3382.57	27.35	38.87	38.79
	"California"	"06"	"Humboldt County, CA"	"06023"	"2010"	"2010"	1551	0.02%	134623	11.52	26992	57.46	3407.11	27.55	38.99	38.87
	"California"	"06"	"Humboldt County, CA"	"06023"	"2011"	"2011"	1448	0.02%	134761	10.74	27352	52.94	3407.17	27.79	39.16	38.98
	"California"	"06"	"Humboldt County, CA"	"06023"	"2012"	"2012"	1504	0.02%	134827	11.16	27253	55.19	3392.59	28.05	39.22	39.00
	"California"	"06"	"Humboldt County, CA"	"06023"	"2013"	"2013"	1531	0.02%	134493	11.38	27369	55.94	3411.90	28.16	39.18	39.02
	"California"	"06"	"Humboldt County, CA"	"06023"	"2014"	"2014"	1468	0.02%	134809	10.89	27619	53.15	3382.14	28.57	39.05	38.91
	"California"	"06"	"Humboldt County, CA"	"06023"	"2015"	"2015"	1441	0.02%	135727	10.62	27909	51.63	3409.15	29.03	39.07	39.01
	"California"	"06"	"Humboldt County, CA"	"06023"	"2016"	"2016"	1482	0.02%	136646	10.85	28150	52.65	3388.72	29.03	39.09	38.92
	"California"	"06"	"Humboldt County, CA"	"06023"	"2017"	"2017"	1372	0.02%	136754	10.03	28313	48.46	3382.60	29.16	39.11	38.96
	"California"	"06"	"Humboldt County, CA"	"06023"	"2018"	"2018"	1364	0.02%	136373	10.00	28199	48.37	3386.42	29.38	38.96	38.85
	"California"	"06"	"Humboldt County, CA"	"06023"	"2019"	"2019"	1417	0.02%	135558	10.45	28044	50.53	3384.57	29.36	39.03	38.88
"Total"	"California"	"06"	"Humboldt County, CA"	"06023"			19319	0.30%	1752973	11.02	358269	53.92	3392.68	28.25	39.04	38.91
	"California"	"06"	"Imperial County, CA"	"06025"	"2007"	"2007"	3146	0.05%	164596	19.11	33037	95.23	3330.83	26.18	38.68	38.54
	"California"	"06"	"Imperial County, CA"	"06025"	"2008"	"2008"	3241	0.05%	167917	19.30	33646	96.33	3331.96	26.33	38.84	38.63
	"California"	"06"	"Imperial County, CA"	"06025"	"2009"	"2009"	3151	0.05%	172008	18.32	34255	91.99	3338.95	26.12	38.79	38.68
	"California"	"06"	"Imperial County, CA"	"06025"	"2010"	"2010"	3081	0.05%	174528	17.65	34691	88.81	3338.81	26.37	38.84	38.66
	"California"	"06"	"Imperial County, CA"	"06025"	"2011"	"2011"	3079	0.05%	177057	17.39	34917	88.18	3347.98	26.48	38.87	38.70
	"California"	"06"	"Imperial County, CA"	"06025"	"2012"	"2012"	3054	0.05%	176948	17.26	34691	88.03	3330.32	26.75	39.03	38.75
	"California"	"06"	"Imperial County, CA"	"06025"	"2013"	"2013"	3094	0.05%	176584	17.52	34259	90.31	3341.39	26.76	39.06	38.75
	"California"	"06"	"Imperial County, CA"	"06025"	"2014"	"2014"	3226	0.05%	179091	18.01	34513	93.47	3301.58	27.12	39.07	38.66
	"California"	"06"	"Imperial County, CA"	"06025"	"2015"	"2015"	3168	0.05%	180191	17.58	34452	91.95	3334.37	27.32	38.95	38.72
	"California"	"06"	"Imperial County, CA"	"06025"	"2016"	"2016"	2939	0.05%	180883	16.25	34264	85.78	3311.77	27.62	38.99	38.61
	"California"	"06"	"Imperial County, CA"	"06025"	"2017"	"2017"	2894	0.04%	182830	15.83	34468	83.96	3327.67	27.73	39.04	38.66
	"California"	"06"	"Imperial County, CA"	"06025"	"2018"	"2018"	2629	0.04%	181827	14.46	34292	76.67	3320.75	27.91	39.20	38.65
	"California"	"06"	"Imperial County, CA"	"06025"	"2019"	"2019"	2533	0.04%	181215	13.98	34165	74.14	3294.93	28.12	39.06	38.52
"Total"	"California"	"06"	"Imperial County, CA"	"06025"			39235	0.60%	2295675	17.09	445650	88.04	3327.57	26.95	38.95	38.66
	"California"	"06"	"Kern County, CA"	"06029"	"2007"	"2007"	15336	0.24%	803281	19.09	164991	92.95	3308.50	26.07	38.61	38.51
	"California"	"06"	"Kern County, CA"	"06029"	"2008"	"2008"	15316	0.24%	818327	18.72	167145	91.63	3305.89	26.05	38.58	38.49
	"California"	"06"	"Kern County, CA"	"06029"	"2009"	"2009"	14828	0.23%	830137	17.86	168958	87.76	3276.35	26.24	38.58	38.58
	"California"	"06"	"Kern County, CA"	"06029"	"2010"	"2010"	14419	0.22%	839631	17.17	170699	84.47	3281.02	26.25	38.71	38.68
	"California"	"06"	"Kern County, CA"	"06029"	"2011"	"2011"	14287	0.22%	851710	16.77	172434	82.85	3286.18	26.36	38.71	38.66
	"California"	"06"	"Kern County, CA"	"06029"	"2012"	"2012"	14553	0.22%	856158	17.00	173755	83.76	3301.02	26.59	38.77	38.66
	"California"	"06"	"Kern County, CA"	"06029"	"2013"	"2013"	14149	0.22%	864124	16.37	175356	80.69	3283.39	26.72	38.70	38.57
	"California"	"06"	"Kern County, CA"	"06029"	"2014"	"2014"	14193	0.22%	874589	16.23	177295	80.05	3298.66	26.93	38.70	38.61
	"California"	"06"	"Kern County, CA"	"06029"	"2015"	"2015"	13768	0.21%	882176	15.61	178361	77.19	3288.75	27.21	38.68	38.60
	"California"	"06"	"Kern County, CA"	"06029"	"2016"	"2016"	13728	0.21%	884788	15.52	178484	76.91	3290.64	27.50	38.67	38.58
	"California"	"06"	"Kern County, CA"	"06029"	"2017"	"2017"	13326	0.20%	893119	14.92	179926	74.06	3274.54	27.57	38.65	38.55
	"California"	"06"	"Kern County, CA"	"06029"	"2018"	"2018"	12916	0.20%	896764	14.40	180542	71.54	3278.08	27.84	38.62	38.51
	"California"	"06"	"Kern County, CA"	"06029"	"2019"	"2019"	12765	0.20%	900202	14.18	182069	70.11	3266.70	27.98	38.51	38.48
"Total"	"California"	"06"	"Kern County, CA"	"06029"			183584	2.82%	11195006	16.40	2270015	80.87	3288.17	26.84	38.65	38.58
	"California"	"06"	"Kings County, CA"	"06031"	"2007"	"2007"	2781	0.04%	150420	18.49	28191	98.65	3334.90	25.80	38.78	38.57
	"California"	"06"	"Kings County, CA"	"06031"	"2008"	"2008"	2711	0.04%	152027	17.83	28429	95.36	3347.81	25.82	38.86	38.60
	"California"	"06"	"Kings County, CA"	"06031"	"2009"	"2009"	2645	0.04%	152278	17.37	28612	92.44	3337.67	25.97	38.83	38.64
	"California"	"06"	"Kings County, CA"	"06031"	"2010"	"2010"	2509	0.04%	152982	16.40	28729	87.33	3325.66	26.14	38.73	38.54
	"California"	"06"	"Kings County, CA"	"06031"	"2011"	"2011"	2567	0.04%	153765	16.69	28763	89.25	3313.96	26.34	38.72	38.57
	"California"	"06"	"Kings County, CA"	"06031"	"2012"	"2012"	2358	0.04%	151364	15.58	28536	82.63	3352.20	26.73	38.80	38.65
	"California"	"06"	"Kings County, CA"	"06031"	"2013"	"2013"	2394	0.04%	150960	15.86	28473	84.08	3343.91	26.72	38.87	38.67
	"California"	"06"	"Kings County, CA"	"06031"	"2014"	"2014"	2350	0.04%	150269	15.64	28791	81.62	3343.68	26.99	38.77	38.65
	"California"	"06"	"Kings County, CA"	"06031"	"2015"	"2015"	2274	0.03%	150965	15.06	28764	79.06	3333.62	27.26	38.75	38.62
	"California"	"06"	"Kings County, CA"	"06031"	"2016"	"2016"	2248	0.03%	149785	15.01	28467	78.97	3318.58	27.11	38.70	38.53
	"California"	"06"	"Kings County, CA"	"06031"	"2017"	"2017"	2373	0.04%	150101	15.81	28762	82.50	3332.21	27.57	38.73	38.55
	"California"	"06"	"Kings County, CA"	"06031"	"2018"	"2018"	2262	0.03%	151366	14.94	28844	78.42	3320.51	27.68	38.60	38.50
	"California"	"06"	"Kings County, CA"	"06031"	"2019"	"2019"	2115	0.03%	152940	13.83	29046	72.82	3316.72	27.82	38.69	38.53
"Total"	"California"	"06"	"Kings County, CA"	"06031"			31587	0.49%	1969222	16.04	372407	84.82	3332.73	26.71	38.76	38.59
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2007"	"2007"	151908	2.33%	9700359	15.66	2189722	69.37	3266.50	28.20	38.54	38.47
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2008"	"2008"	147745	2.27%	9735147	15.18	2185906	67.59	3266.81	28.32	38.58	38.46
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2009"	"2009"	139757	2.15%	9787400	14.28	2184120	63.99	3263.00	28.44	38.58	38.50
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2010"	"2010"	133252	2.05%	9818605	13.57	2181774	61.08	3263.08	28.60	38.60	38.53
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2011"	"2011"	130370	2.00%	9889056	13.18	2180875	59.78	3265.44	28.81	38.62	38.54
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2012"	"2012"	131664	2.02%	9962789	13.22	2188206	60.17	3268.54	29.05	38.66	38.55
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2013"	"2013"	128598	1.97%	10017068	12.84	2188167	58.77	3266.99	29.29	38.66	38.56
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2014"	"2014"	130289	2.00%	10116705	12.88	2201077	59.19	3265.43	29.56	38.66	38.57
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2015"	"2015"	124641	1.91%	10170292	12.26	2195555	56.77	3253.67	29.74	38.64	38.56
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2016"	"2016"	123092	1.89%	10137915	12.14	2173072	56.64	3260.01	29.90	38.66	38.56
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2017"	"2017"	116950	1.80%	10163507	11.51	2169299	53.91	3259.04	30.11	38.64	38.56
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2018"	"2018"	110271	1.69%	10105518	10.91	2148411	51.33	3260.45	30.40	38.63	38.54
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2019"	"2019"	107231	1.65%	10039107	10.68	2126476	50.43	3257.43	30.55	38.58	38.52
"Total"	"California"	"06"	"Los Angeles County, CA"	"06037"			1675768	25.73%	129643468	12.93	28312660	59.19	3263.07	29.24	38.62	38.53
	"California"	"06"	"Madera County, CA"	"06039"	"2007"	"2007"	2612	0.04%	146067	17.88	32442	80.51	3263.33	26.12	38.62	38.66
	"California"	"06"	"Madera County, CA"	"06039"	"2008"	"2008"	2535	0.04%	148359	17.09	32829	77.22	3300.33	25.99	38.73	38.67
	"California"	"06"	"Madera County, CA"	"06039"	"2009"	"2009"	2390	0.04%	149234	16.02	32591	73.33	3302.70	26.23	38.73	38.64
	"California"	"06"	"Madera County, CA"	"06039"	"2010"	"2010"	2434	0.04%	150865	16.13	32860	74.07	3284.15	26.39	38.66	38.54
	"California"	"06"	"Madera County, CA"	"06039"	"2011"	"2011"	2401	0.04%	152925	15.70	33230	72.25	3304.85	26.96	38.70	38.61
	"California"	"06"	"Madera County, CA"	"06039"	"2012"	"2012"	2257	0.03%	152218	14.83	32260	69.96	3322.99	26.89	38.70	38.60
	"California"	"06"	"Madera County, CA"	"06039"	"2013"	"2013"	2315	0.04%	152389	15.19	32047	72.24	3316.83	27.09	38.77	38.67
	"California"	"06"	"Madera County, CA"	"06039"	"2014"	"2014"	2313	0.04%	154548	14.97	33354	69.35	3320.02	27.31	38.74	38.69
	"California"	"06"	"Madera County, CA"	"06039"	"2015"	"2015"	2225	0.03%	154998	14.36	33079	67.26	3322.05	27.69	38.73	38.68
	"California"	"06"	"Madera County, CA"	"06039"	"2016"	"2016"	2355	0.04%	154697	15.22	32690	72.04	3310.46	27.65	38.67	38.60
	"California"	"06"	"Madera County, CA"	"06039"	"2017"	"2017"	2120	0.03%	156890	13.51	33310	63.64	3319.43	27.98	38.80	38.71
	"California"	"06"	"Madera County, CA"	"06039"	"2018"	"2018"	2079	0.03%	157672	13.19	33449	62.15	3298.49	28.23	38.60	38.58
	"California"	"06"	"Madera County, CA"	"06039"	"2019"	"2019"	2045	0.03%	157327	13.00	33225	61.55	3319.80	28.27	38.61	38.63
"Total"	"California"	"06"	"Madera County, CA"	"06039"			30081	0.46%	1988189	15.13	427366	70.39	3305.78	27.09	38.70	38.64
	"California"	"06"	"Marin County, CA"	"06041"	"2007"	"2007"	2820	0.04%	246248	11.45	41156	68.52	3367.36	32.02	38.87	38.86
	"California"	"06"	"Marin County, CA"	"06041"	"2008"	"2008"	2719	0.04%	248398	10.95	41059	66.22	3350.55	32.14	38.80	38.76
	"California"	"06"	"Marin County, CA"	"06041"	"2009"	"2009"	2496	0.04%	250862	9.95	40814	61.16	3375.82	32.26	38.91	38.83
	"California"	"06"	"Marin County, CA"	"06041"	"2010"	"2010"	2371	0.04%	252409	9.39	40694	58.26	3347.63	32.16	38.94	38.90
	"California"	"06"	"Marin County, CA"	"06041"	"2011"	"2011"	2386	0.04%	255031	9.36	40355	59.13	3371.54	32.37	38.93	38.91
	"California"	"06"	"Marin County, CA"	"06041"	"2012"	"2012"	2305	0.04%	256069	9.00	40296	57.20	3360.70	32.69	38.86	38.83
	"California"	"06"	"Marin County, CA"	"06041"	"2013"	"2013"	2321	0.04%	258365	8.98	40409	57.44	3324.36	32.94	38.86	38.81
	"California"	"06"	"Marin County, CA"	"06041"	"2014"	"2014"	2401	0.04%	260750	9.21	40629	59.10	3345.99	32.74	38.94	38.88
	"California"	"06"	"Marin County, CA"	"06041"	"2015"	"2015"	2288	0.04%	261221	8.76	39940	57.29	3357.03	32.70	39.00	38.91
	"California"	"06"	"Marin County, CA"	"06041"	"2016"	"2016"	2252	0.03%	260651	8.64	39544	56.95	3348.21	33.05	38.97	38.85
	"California"	"06"	"Marin County, CA"	"06041"	"2017"	"2017"	2237	0.03%	260955	8.57	39144	57.15	3352.58	33.09	39.00	38.89
	"California"	"06"	"Marin County, CA"	"06041"	"2018"	"2018"	2127	0.03%	259666	8.19	38772	54.86	3373.09	33.34	39.00	38.89
	"California"	"06"	"Marin County, CA"	"06041"	"2019"	"2019"	2071	0.03%	258826	8.00	38501	53.79	3356.72	33.29	38.83	38.77
"Total"	"California"	"06"	"Marin County, CA"	"06041"			30794	0.47%	3329451	9.25	521313	59.07	3356.40	32.64	38.91	38.85
	"California"	"06"	"Merced County, CA"	"06047"	"2007"	"2007"	4652	0.07%	248540	18.72	53756	86.54	3321.67	26.29	38.81	38.54
	"California"	"06"	"Merced County, CA"	"06047"	"2008"	"2008"	4422	0.07%	250538	17.65	53713	82.33	3302.82	26.20	38.76	38.44
	"California"	"06"	"Merced County, CA"	"06047"	"2009"	"2009"	4407	0.07%	252302	17.47	53772	81.96	3302.60	26.57	38.74	38.48
	"California"	"06"	"Merced County, CA"	"06047"	"2010"	"2010"	4249	0.07%	255793	16.61	54340	78.19	3282.93	26.61	38.69	38.46
	"California"	"06"	"Merced County, CA"	"06047"	"2011"	"2011"	4280	0.07%	259898	16.47	54996	77.82	3293.84	26.74	38.75	38.58
	"California"	"06"	"Merced County, CA"	"06047"	"2012"	"2012"	4312	0.07%	262305	16.44	55125	78.22	3279.81	26.74	38.70	38.58
	"California"	"06"	"Merced County, CA"	"06047"	"2013"	"2013"	4162	0.06%	263228	15.81	54968	75.72	3319.39	27.29	38.73	38.60
	"California"	"06"	"Merced County, CA"	"06047"	"2014"	"2014"	4164	0.06%	266353	15.63	55529	74.99	3299.53	27.31	38.80	38.59
	"California"	"06"	"Merced County, CA"	"06047"	"2015"	"2015"	4104	0.06%	268455	15.29	55881	73.44	3318.60	27.65	38.80	38.60
	"California"	"06"	"Merced County, CA"	"06047"	"2016"	"2016"	4117	0.06%	268672	15.32	55826	73.75	3317.11	27.61	38.76	38.58
	"California"	"06"	"Merced County, CA"	"06047"	"2017"	"2017"	4202	0.06%	272673	15.41	56535	74.33	3294.53	27.94	38.64	38.48
	"California"	"06"	"Merced County, CA"	"06047"	"2018"	"2018"	3875	0.06%	274765	14.10	57387	67.52	3309.74	27.98	38.65	38.50
	"California"	"06"	"Merced County, CA"	"06047"	"2019"	"2019"	3806	0.06%	277680	13.71	57982	65.64	3307.15	28.33	38.61	38.49
"Total"	"California"	"06"	"Merced County, CA"	"06047"			54752	0.84%	3421202	16.00	719810	76.06	3303.77	27.14	38.73	38.53
	"California"	"06"	"Monterey County, CA"	"06053"	"2007"	"2007"	7551	0.12%	402376	18.77	82680	91.33	3357.72	26.91	38.87	38.72
	"California"	"06"	"Monterey County, CA"	"06053"	"2008"	"2008"	7435	0.11%	406022	18.31	83045	89.53	3353.77	26.91	38.89	38.65
	"California"	"06"	"Monterey County, CA"	"06053"	"2009"	"2009"	7070	0.11%	410263	17.23	83591	84.58	3345.38	27.24	38.87	38.66
	"California"	"06"	"Monterey County, CA"	"06053"	"2010"	"2010"	6765	0.10%	415057	16.30	84396	80.16	3356.10	27.35	38.87	38.65
