"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	Births	% of Total Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	69	0.00%	22325	3.09	5542	12.45	3535.51	28.71	39.16	39.12
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	5746	0.09%	440088	13.06	105151	54.65	3216.94	31.49	38.73	38.66
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	"Black or African American"	"2054-5"	2614	0.04%	214485	12.19	48568	53.82	3168.01	27.57	38.44	38.47
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	"White"	"2106-3"	10877	0.17%	833373	13.05	172455	63.07	3376.50	29.61	38.90	38.86
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	73	0.00%	22461	3.25	5589	13.06	3338.55	27.97	39.01	38.96
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	6036	0.09%	449572	13.43	106342	56.76	3209.45	31.62	38.72	38.62
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	"Black or African American"	"2054-5"	2449	0.04%	214587	11.41	47990	51.03	3196.21	27.68	38.56	38.59
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	"White"	"2106-3"	10445	0.16%	843255	12.39	172650	60.50	3362.38	29.81	38.86	38.82
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	69	0.00%	22484	3.07	5392	12.80	3445.67	28.94	38.55	38.49
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	6450	0.10%	467845	13.79	110570	58.33	3208.00	31.70	38.70	38.60
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	"Black or African American"	"2054-5"	2456	0.04%	215036	11.42	48071	51.09	3194.38	27.97	38.52	38.54
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	"White"	"2106-3"	10571	0.16%	849355	12.45	174188	60.69	3370.93	30.09	38.87	38.82
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	81	0.00%	23307	3.48	5660	14.31	3476.32	28.04	39.54	39.14
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	6413	0.10%	484048	13.25	113959	56.27	3179.85	31.95	38.69	38.58
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	"Black or African American"	"2054-5"	2297	0.04%	212891	10.79	47629	48.23	3204.84	28.25	38.65	38.63
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	"White"	"2106-3"	10466	0.16%	858645	12.19	175991	59.47	3365.26	30.29	38.95	38.85
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	71	0.00%	23219	3.06	5600	12.68	3488.15	27.96	39.14	39.18
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	6911	0.11%	504641	13.69	118801	58.17	3198.68	31.96	38.69	38.61
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	"Black or African American"	"2054-5"	2240	0.03%	212404	10.55	47347	47.31	3190.89	28.63	38.53	38.54
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	"White"	"2106-3"	10428	0.16%	870657	11.98	178949	58.27	3373.64	30.41	38.94	38.86
	"California"	"06"	"Alameda County, CA"	"06001"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	66	0.00%	23468	2.81	5652	11.68	3346.42	30.77	38.33	38.32
	"California"	"06"	"Alameda County, CA"	"06001"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	6862	0.11%	524282	13.09	123227	55.69	3204.41	32.10	38.75	38.64
	"California"	"06"	"Alameda County, CA"	"06001"	"2015"	"2015"	"Black or African American"	"2054-5"	2149	0.03%	211542	10.16	46660	46.06	3210.57	29.04	38.54	38.49
	"California"	"06"	"Alameda County, CA"	"06001"	"2015"	"2015"	"White"	"2106-3"	10357	0.16%	878923	11.78	180023	57.53	3364.61	30.59	38.93	38.83
	"California"	"06"	"Alameda County, CA"	"06001"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	68	0.00%	23178	2.93	5531	12.29	3344.26	29.35	38.50	38.75
	"California"	"06"	"Alameda County, CA"	"06001"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	7189	0.11%	538508	13.35	126913	56.65	3201.33	32.14	38.73	38.55
	"California"	"06"	"Alameda County, CA"	"06001"	"2016"	"2016"	"Black or African American"	"2054-5"	2072	0.03%	208995	9.91	45893	45.15	3208.57	29.45	38.69	38.60
	"California"	"06"	"Alameda County, CA"	"06001"	"2016"	"2016"	"White"	"2106-3"	10244	0.16%	877023	11.68	179416	57.10	3369.46	30.85	38.94	38.80
	"California"	"06"	"Alameda County, CA"	"06001"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	59	0.00%	23030	2.56	5517	10.69	3288.29	30.66	38.68	38.71
	"California"	"06"	"Alameda County, CA"	"06001"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	6945	0.11%	558225	12.44	130948	53.04	3206.71	32.37	38.73	38.59
	"California"	"06"	"Alameda County, CA"	"06001"	"2017"	"2017"	"Black or African American"	"2054-5"	2054	0.03%	206810	9.93	45125	45.52	3173.60	29.70	38.46	38.40
	"California"	"06"	"Alameda County, CA"	"06001"	"2017"	"2017"	"White"	"2106-3"	9830	0.15%	875125	11.23	178360	55.11	3344.69	31.20	38.85	38.75
	"California"	"06"	"Alameda County, CA"	"06001"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	65	0.00%	22900	2.84	5476	11.87	3249.52	29.69	38.14	38.08
	"California"	"06"	"Alameda County, CA"	"06001"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	6845	0.11%	570582	12.00	133404	51.31	3195.84	32.59	38.69	38.57
	"California"	"06"	"Alameda County, CA"	"06001"	"2018"	"2018"	"Black or African American"	"2054-5"	1805	0.03%	204475	8.83	44511	40.55	3175.93	29.91	38.40	38.36
	"California"	"06"	"Alameda County, CA"	"06001"	"2018"	"2018"	"White"	"2106-3"	9525	0.15%	868796	10.96	177223	53.75	3360.48	31.25	38.88	38.78
	"California"	"06"	"Alameda County, CA"	"06001"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	69	0.00%	22632	3.05	5475	12.60	3322.38	30.32	38.96	38.83
	"California"	"06"	"Alameda County, CA"	"06001"	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	6744	0.10%	581795	11.59	135544	49.76	3189.99	32.69	38.69	38.55
	"California"	"06"	"Alameda County, CA"	"06001"	"2019"	"2019"	"Black or African American"	"2054-5"	1900	0.03%	203185	9.35	44117	43.07	3175.07	29.91	38.42	38.42
	"California"	"06"	"Alameda County, CA"	"06001"	"2019"	"2019"	"White"	"2106-3"	9499	0.15%	863717	11.00	176093	53.94	3349.91	31.39	38.83	38.74
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	63	0.00%	5905	10.67	1285	49.03	3247.70	25.30	38.48	38.18
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	175	0.00%	10194	17.17	2604	67.20	3193.60	26.27	38.49	38.53
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	"Black or African American"	"2054-5"	58	0.00%	4664	12.44	936	61.97	3161.98	24.53	38.47	38.55
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	"White"	"2106-3"	2227	0.03%	196706	11.32	39343	56.60	3368.08	27.05	38.83	38.63
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	65	0.00%	6031	10.78	1306	49.77	3454.92	24.82	39.06	38.83
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	172	0.00%	10460	16.44	2652	64.86	3266.69	26.33	38.56	38.58
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	"Black or African American"	"2054-5"	59	0.00%	4798	12.30	947	62.30	3177.69	23.63	38.53	38.36
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	"White"	"2106-3"	2224	0.03%	197745	11.25	39154	56.80	3373.37	26.77	39.05	38.72
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	53	0.00%	6248	8.48	1323	40.06	3488.47	24.83	39.57	38.96
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	196	0.00%	10658	18.39	2658	73.74	3278.60	26.36	38.78	38.80
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	"Black or African American"	"2054-5"	48	0.00%	5020	9.56	1033	46.47	3236.94	24.44	38.88	38.58
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	"White"	"2106-3"	2143	0.03%	197851	10.83	38747	55.31	3370.56	27.00	38.98	38.76
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	75	0.00%	6390	11.74	1387	54.07	3309.27	24.64	38.57	38.46
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	192	0.00%	10868	17.67	2737	70.15	3222.24	26.94	38.60	38.64
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	"Black or African American"	"2054-5"	59	0.00%	5086	11.60	1061	55.61	3111.75	25.68	38.42	38.17
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	"White"	"2106-3"	2131	0.03%	197656	10.78	38551	55.28	3372.32	27.33	38.99	38.74
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	55	0.00%	6395	8.60	1489	36.94	3482.04	25.95	38.69	38.91
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	180	0.00%	11503	15.65	2995	60.10	3233.00	27.03	38.63	38.63
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	"Black or African American"	"2054-5"	53	0.00%	5455	9.72	1190	44.54	3224.58	23.98	38.87	38.64
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	"White"	"2106-3"	2103	0.03%	196913	10.68	38846	54.14	3384.56	27.30	38.98	38.76
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	53	0.00%	6579	8.06	1487	35.64	3329.15	25.51	38.42	38.27
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	186	0.00%	11553	16.10	2998	62.04	3208.99	27.80	38.62	38.55
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	"Black or African American"	"2054-5"	49	0.00%	5394	9.08	1129	43.40	3244.65	26.24	38.88	38.84
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	"White"	"2106-3"	2111	0.03%	198013	10.66	38813	54.39	3373.15	27.43	38.93	38.80
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	67	0.00%	6621	10.12	1535	43.65	3309.57	25.90	38.91	38.82
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	199	0.00%	11611	17.14	3000	66.33	3216.40	27.90	38.83	38.73
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	"Black or African American"	"2054-5"	64	0.00%	5632	11.36	1212	52.81	3159.05	25.70	38.31	38.05
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	"White"	"2106-3"	2085	0.03%	198226	10.52	38938	53.55	3362.20	27.87	39.06	38.85
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	52	0.00%	6767	7.68	1583	32.85	3311.13	24.90	38.75	38.54
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	188	0.00%	12175	15.44	3156	59.57	3205.80	27.81	38.71	38.70
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	"Black or African American"	"2054-5"	74	0.00%	5759	12.85	1255	58.96	3280.12	26.30	38.66	38.65
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	"White"	"2106-3"	2167	0.03%	199540	10.86	39268	55.18	3365.71	27.93	39.03	38.91
	"California"	"06"	"Butte County, CA"	"06007"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	63	0.00%	6797	9.27	1586	39.72	3373.40	25.19	38.85	38.69
	"California"	"06"	"Butte County, CA"	"06007"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	174	0.00%	12457	13.97	3306	52.63	3270.54	27.75	39.00	38.89
	"California"	"06"	"Butte County, CA"	"06007"	"2015"	"2015"	"Black or African American"	"2054-5"	57	0.00%	5970	9.55	1320	43.18	3104.35	25.32	38.21	38.37
	"California"	"06"	"Butte County, CA"	"06007"	"2015"	"2015"	"White"	"2106-3"	2148	0.03%	200187	10.73	39196	54.80	3350.47	28.07	38.97	38.85
	"California"	"06"	"Butte County, CA"	"06007"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	57	0.00%	6752	8.44	1588	35.89	3420.21	26.86	38.91	38.81
	"California"	"06"	"Butte County, CA"	"06007"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	182	0.00%	12638	14.40	3300	55.15	3190.29	29.42	38.79	38.64
	"California"	"06"	"Butte County, CA"	"06007"	"2016"	"2016"	"Black or African American"	"2054-5"	74	0.00%	6036	12.26	1337	55.35	3031.91	26.31	37.99	37.69
	"California"	"06"	"Butte County, CA"	"06007"	"2016"	"2016"	"White"	"2106-3"	2177	0.03%	201438	10.81	39413	55.24	3398.73	28.54	39.08	38.96
	"California"	"06"	"Butte County, CA"	"06007"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	51	0.00%	6927	7.36	1625	31.38	3378.63	26.35	38.73	38.59
	"California"	"06"	"Butte County, CA"	"06007"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	202	0.00%	13004	15.53	3414	59.17	3202.12	29.17	38.70	38.65
	"California"	"06"	"Butte County, CA"	"06007"	"2017"	"2017"	"Black or African American"	"2054-5"	66	0.00%	6165	10.71	1374	48.03	3333.03	28.52	38.94	38.86
	"California"	"06"	"Butte County, CA"	"06007"	"2017"	"2017"	"White"	"2106-3"	2067	0.03%	203198	10.17	39951	51.74	3351.68	28.82	38.89	38.82
	"California"	"06"	"Butte County, CA"	"06007"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	63	0.00%	6986	9.02	1652	38.14	3417.38	27.83	38.56	38.39
	"California"	"06"	"Butte County, CA"	"06007"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	217	0.00%	13514	16.06	3582	60.58	3271.17	29.06	38.95	38.88
	"California"	"06"	"Butte County, CA"	"06007"	"2018"	"2018"	"Black or African American"	"2054-5"	65	0.00%	6316	10.29	1400	46.43	3106.75	27.80	38.17	38.14
	"California"	"06"	"Butte County, CA"	"06007"	"2018"	"2018"	"White"	"2106-3"	2085	0.03%	204440	10.20	40325	51.70	3357.46	28.81	38.81	38.78
	"California"	"06"	"Butte County, CA"	"06007"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	62	0.00%	6714	9.23	1625	38.15	3295.69	27.52	38.60	38.68
	"California"	"06"	"Butte County, CA"	"06007"	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	174	0.00%	12981	13.40	3429	50.74	3248.29	29.40	38.58	38.55
	"California"	"06"	"Butte County, CA"	"06007"	"2019"	"2019"	"Black or African American"	"2054-5"	72	0.00%	6225	11.57	1463	49.21	3235.00	26.64	38.83	38.78
	"California"	"06"	"Butte County, CA"	"06007"	"2019"	"2019"	"White"	"2106-3"	1846	0.03%	193266	9.55	38895	47.46	3362.98	29.30	38.86	38.78
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	47	0.00%	11261	4.17	2726	17.24	3342.70	27.06	39.11	39.11
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	2239	0.03%	158274	14.15	36770	60.89	3223.90	31.24	38.69	38.48
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2007"	"2007"	"Black or African American"	"2054-5"	1354	0.02%	105861	12.79	24692	54.84	3167.42	26.68	38.49	38.38
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2007"	"2007"	"White"	"2106-3"	9847	0.15%	733756	13.42	140098	70.29	3389.88	29.13	38.94	38.80
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	56	0.00%	11784	4.75	2834	19.76	3387.02	27.30	39.14	39.02
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	2159	0.03%	164956	13.09	37880	57.00	3233.00	31.54	38.70	38.55
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2008"	"2008"	"Black or African American"	"2054-5"	1410	0.02%	108243	13.03	25199	55.95	3212.38	26.74	38.63	38.60
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2008"	"2008"	"White"	"2106-3"	9510	0.15%	738361	12.88	139364	68.24	3383.84	29.15	38.97	38.80
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	42	0.00%	12548	3.35	2912	14.42	3243.24	26.36	38.71	38.45
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	2233	0.03%	171286	13.04	38766	57.60	3220.66	31.60	38.62	38.56
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2009"	"2009"	"Black or African American"	"2054-5"	1403	0.02%	110478	12.70	25564	54.88	3197.56	27.02	38.65	38.62
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2009"	"2009"	"White"	"2106-3"	9008	0.14%	743578	12.11	138756	64.92	3386.36	29.29	38.96	38.81
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	49	0.00%	13151	3.73	3073	15.95	3487.96	28.16	39.10	39.14
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Asian or Pacific Islander"	"A-PI"	2186	0.03%	176575	12.38	39471	55.38	3229.45	31.65	38.68	38.62
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"Black or African American"	"2054-5"	1329	0.02%	112345	11.83	25768	51.58	3196.72	27.03	38.63	38.66
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2010"	"2010"	"White"	"2106-3"	8794	0.14%	746954	11.77	138484	63.50	3353.53	29.38	38.88	38.78
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	47	0.00%	13490	3.48	3078	15.27	3295.81	27.62	39.04	38.96
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Asian or Pacific Islander"	"A-PI"	2260	0.03%	182918	12.36	40661	55.58	3214.24	31.78	38.64	38.58
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"Black or African American"	"2054-5"	1299	0.02%	113427	11.45	25620	50.70	3169.17	27.55	38.48	38.45
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	"White"	"2106-3"	8454	0.13%	756261	11.18	139514	60.60	3371.60	29.57	38.91	38.80
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	58	0.00%	13554	4.28	3064	18.93	3359.59	27.28	38.88	38.76
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"Asian or Pacific Islander"	"A-PI"	2203	0.03%	190420	11.57	41880	52.60	3199.48	31.95	38.61	38.56
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"Black or African American"	"2054-5"	1332	0.02%	114811	11.60	25698	51.83	3201.13	27.44	38.56	38.56
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2012"	"2012"	"White"	"2106-3"	8472	0.13%	760812	11.14	139802	60.60	3380.53	29.74	38.92	38.84
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"American Indian or Alaska Native"	"1002-5"	57	0.00%	13750	4.15	3123	18.25	3403.12	29.23	39.37	39.00
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Asian or Pacific Islander"	"A-PI"	2220	0.03%	196774	11.28	43066	51.55	3244.64	31.94	38.75	38.63
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"Black or African American"	"2054-5"	1357	0.02%	116673	11.63	25835	52.53	3207.30	27.85	38.54	38.50
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2013"	"2013"	"White"	"2106-3"	8520	0.13%	767008	11.11	140233	60.76	3376.85	30.09	38.93	38.84
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"American Indian or Alaska Native"	"1002-5"	57	0.00%	13965	4.08	3168	17.99	3287.05	27.93	38.63	38.61
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	2380	0.04%	205337	11.59	44894	53.01	3235.15	32.10	38.66	38.56
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"Black or African American"	"2054-5"	1235	0.02%	118384	10.43	26181	47.17	3179.37	28.25	38.37	38.36
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2014"	"2014"	"White"	"2106-3"	8885	0.14%	773653	11.48	141656	62.72	3380.00	30.22	38.89	38.80
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	66	0.00%	14258	4.63	3249	20.31	3462.65	29.44	38.62	38.52
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	2431	0.04%	213518	11.39	46194	52.63	3217.55	32.14	38.64	38.54
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"Black or African American"	"2054-5"	1317	0.02%	120285	10.95	26430	49.83	3190.97	28.54	38.48	38.44
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	"White"	"2106-3"	8782	0.13%	778684	11.28	141753	61.95	3379.18	30.42	38.88	38.77
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	57	0.00%	14414	3.95	3229	17.65	3279.25	30.00	38.89	38.79
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	2486	0.04%	218491	11.38	46933	52.97	3214.05	32.21	38.72	38.54
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"Black or African American"	"2054-5"	1339	0.02%	121005	11.07	26435	50.65	3162.68	28.84	38.52	38.33
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2016"	"2016"	"White"	"2106-3"	8458	0.13%	781217	10.83	141667	59.70	3387.60	30.53	38.90	38.73
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	57	0.00%	14654	3.89	3309	17.23	3159.65	29.21	38.14	38.19
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	2465	0.04%	227805	10.82	49028	50.28	3204.08	32.37	38.65	38.50
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2017"	"2017"	"Black or African American"	"2054-5"	1374	0.02%	122040	11.26	26603	51.65	3152.93	29.04	38.37	38.23
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2017"	"2017"	"White"	"2106-3"	8284	0.13%	782940	10.58	142000	58.34	3360.60	30.75	38.86	38.72
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	66	0.00%	14736	4.48	3314	19.92	3325.00	29.79	38.17	38.21
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	2517	0.04%	232240	10.84	49352	51.00	3202.29	32.72	38.67	38.52
